"","center","Qst.LL","Qst.AIC","Qst.dAIC","AvgSpurF.LL","AvgSpurF.AIC","AvgSpurF.dAIC","AvgSpurM.LL","AvgSpurM.AIC","AvgSpurM.dAIC","MassF.LL","MassF.AIC","MassF.dAIC","mtdna.s.LL","mtdna.s.AIC","mtdna.s.dAIC","facialshieldlenF.LL","facialshieldlenF.AIC","facialshieldlenF.dAIC","facialshieldlenM.LL","facialshieldlenM.AIC","facialshieldlenM.dAIC","facialshieldwidF.LL","facialshieldwidF.AIC","facialshieldwidF.dAIC","facialshieldwidM.LL","facialshieldwidM.AIC","facialshieldwidM.dAIC","dorsal.LL","dorsal.AIC","dorsal.dAIC","facial.LL","facial.AIC","facial.dAIC","phenHI.LL","phenHI.AIC","phenHI.dAIC"
"AvgSpurF",346.0254,153.702187015976,-295.404374031953,756.784080405385,-153.077301571158,310.154603142316,0,-186.671430976814,385.342861953628,6.65542202057867,-318.010898493013,648.021796986027,16.8103445773296,-42.8030164841925,87.606032968385,77.6970266295548,-142.431457846132,296.862915692264,66.6567973965817,-190.526809277975,385.053618555951,42.6239375754541,-160.248056301003,324.496112602005,60.9657200108658,-206.465757389613,424.931514779227,86.799890674191,4.22436207788058,11.5512758442388,452.005217243335,9166.31445601937,-18312.6289120387,0,58.7106151355409,-105.421230271082,496.391468120793
"C00",349,156.9947996215,-301.989599243,750.198855194338,-153.079836766732,310.159673533464,0.00507039114864938,-186.642272486322,385.284544972644,6.59710503959553,-317.965146742398,647.930293484797,16.7188410760996,-42.5595181906833,87.1190363813666,77.2100300425364,-142.397258022062,296.794516044123,66.5883977484403,-190.303058379681,384.606116759362,42.1764357788657,-159.859095838616,323.718191677232,60.1877990860922,-206.08072485967,424.16144971934,86.0298256143045,7.64442517883449,4.71114964233103,445.165091041428,9166.31445601937,-18312.6289120387,0,61.2565806023618,-110.513161204724,491.299537187152
"C01",371.75,177.387788696242,-342.775577392483,709.412877044855,-153.28449759756,310.56899519512,0.414392052804317,-186.392122217685,384.78424443537,6.09680450232156,-317.612967128384,647.225934256768,16.0144818480711,-40.6993833043933,83.3987666087865,73.4897602699563,-141.684089095785,295.36817819157,65.1620598958874,-188.393228300754,380.786456601507,38.3567756210105,-156.473794979464,316.947589958928,53.4171973677891,-202.878229116594,417.756458233187,79.6248341281516,40.7438352446011,-61.4876704892021,378.966270909894,9166.31445601585,-18312.6289120317,7.04676494933665e-09,86.5693145827654,-161.138629165531,440.674069226344
"C02",394.5,217.706326830152,-423.412653660304,628.775800777034,-153.855808353343,311.711616706686,1.55701356437027,-186.096902637533,384.193805275065,5.5063653420163,-317.25659963638,646.51319927276,15.3017468640624,-38.1761662844452,78.3523325688905,68.4433262300603,-137.195207647913,286.390415295826,56.1842970001431,-185.990985949527,375.981971899055,33.552290918558,-152.06435622224,308.12871244448,44.5983198533407,-198.794539380885,409.58907876177,71.4574546567343,71.1065325525293,-122.213065105059,318.240876294038,470.38451710318,-920.76903420636,17391.8598778324,126.217552148662,-240.435104297325,361.377594094551
"C03",417.25,344.236718684783,-676.473437369566,375.715017067772,-154.793005862883,313.586011725766,3.43140858345026,-185.746792136354,383.493584272707,4.80614433965837,-317.412925605883,646.825851211765,15.6143988030682,-34.3607213647469,70.7214427294938,60.8124363906635,-135.60402399909,283.20804799818,53.0019297024972,-182.824788811158,369.649577622316,27.219896641819,-146.311068816482,296.622137632964,33.0917450418249,-192.606220407497,397.212440814994,59.0808167099579,136.509388211239,-253.018776422477,187.435164976619,405.469432162606,-790.938864325211,17521.6900477135,182.650748636059,-353.301497272117,248.511201119758
"C04",440,415.06824413763,-818.13648827526,234.051966162079,-156.016311912191,316.032623824381,5.87802068206554,-185.23761459535,382.475229190701,3.78778925765175,-316.67544048984,645.350880979681,14.1394285709836,-28.1411697231342,58.2823394462685,48.3733331074383,-132.162329188258,276.324658376515,46.1185400808323,-178.66406788895,361.3281357779,18.8984547974036,-136.484685425352,276.969370850704,13.4389782595645,-181.309677592931,374.619355185862,36.4877310808263,151.63391554949,-283.26783109898,157.186110300116,384.174907616154,-748.349815232308,17564.2790968064,240.782710249982,-469.565420499965,132.24727789191
"C05",450,432.20974311336,-852.41948622672,199.768968210619,-156.610698501053,317.221397002106,7.06679385979038,-184.988480504043,381.976961008086,3.28952107503687,-316.100481052197,644.200962104394,12.9895096956968,-24.2644741607306,50.5289483214613,40.6199419826311,-130.495745350263,272.991490700527,42.7853724048441,-176.554169767759,357.108339535518,14.6786585550212,-132.326334352732,268.652668705464,5.12227611432468,-177.114303636393,366.228607272786,28.0969831677498,165.509866324713,-311.019732649426,129.43420874967,434.479016489283,-848.958032978565,17463.6708790602,266.545028891139,-521.090057782279,80.7226406095964
"C06",455,448.36577357036,-884.73154714072,167.456907296618,-156.920106058968,317.840212117936,7.68560897562043,-184.877281675188,381.754563350376,3.06712341732737,-313.500028435338,639.000056870677,7.78860446197939,-22.016866154415,46.0337323088299,36.1247259699997,-128.564935828714,269.129871657428,38.9237533617451,-175.476801046563,354.953602093126,12.5239211126295,-129.900426452764,263.800852905528,0.270460314388515,-166.484105418812,344.968210837625,6.83658673258884,205.092926649305,-390.18585329861,50.2680881004868,309.091860598271,-598.183721196541,17714.4451908422,276.809278121393,-541.618556242785,60.1941421490901
"C07",460,480.960287923043,-949.920575846086,102.267878591253,-157.240649975221,318.481299950443,8.32669680812688,-184.766632342732,381.533264685465,2.84582475241587,-313.498500853488,638.997001706976,7.78554929827862,-19.549769979734,41.0995399594679,31.1905336206377,-128.573417363367,269.146834726734,38.9407164310516,-174.416077016171,352.832154032341,10.4024730518446,-129.777213325495,263.55442665099,0.0240340598504645,-166.484105418812,344.968210837625,6.83658673258884,181.944109277942,-343.888218555885,96.5657228432119,364.561603772798,-709.123207545597,17603.5057044932,286.050200050443,-560.100400100887,41.7122982909884
"FacWidF",461.2073,481.427435891281,-950.854871782563,101.333582654776,-157.319673758079,318.639347516157,8.48474437384175,-184.738440299813,381.476880599626,2.78944066657692,-313.498500671224,638.997001342449,7.78554893375144,-18.9198630651171,39.8397261302342,29.930719791404,-128.569197264365,269.138394528731,38.9322762330482,-174.165561420021,352.331122840042,9.90144185954586,-129.76519629557,263.530392591139,0,-166.484105418812,344.968210837625,6.83658673258884,190.689775043784,-361.379550087568,79.074391311529,363.353091164217,-706.706182328433,17605.9227297103,288.197053805283,-564.394107610565,37.4185907813097
